Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt3203606,2017-02-05,2017-02-05,,Trumbo,https://www.imdb.com/title/tt3203606/,movie,7.5,124,2015,"Biography, Drama",66785,2015-09-12,Jay Roach
2,tt3659388,2017-02-05,2017-02-05,,The Martian,https://www.imdb.com/title/tt3659388/,movie,8,144,2015,"Adventure, Drama, Sci-Fi",646342,2015-09-11,Ridley Scott
3,tt2080374,2017-02-05,2017-02-05,,Steve Jobs,https://www.imdb.com/title/tt2080374/,movie,7.2,122,2015,"Biography, Drama",134485,2015-09-05,Danny Boyle
4,tt2402927,2017-02-05,2017-02-05,,Carol,https://www.imdb.com/title/tt2402927/,movie,7.2,118,2015,"Drama, Romance",95335,2015-05-17,Todd Haynes
5,tt2446980,2017-02-05,2017-02-05,,Joy,https://www.imdb.com/title/tt2446980/,movie,6.6,124,2015,Drama,113919,2015-12-13,David O. Russell
6,tt2322441,2017-02-05,2017-02-05,,Fifty Shades of Grey,https://www.imdb.com/title/tt2322441/,movie,4.1,125,2015,"Drama, Romance, Thriller",270994,2015-02-09,Sam Taylor-Johnson
7,tt2401878,2017-02-05,2017-02-05,,Anomalisa,https://www.imdb.com/title/tt2401878/,movie,7.3,90,2015,"Animation, Comedy, Drama, Romance",55668,2015-09-04,"Duke Johnson, Charlie Kaufman"
8,tt1791528,2017-02-05,2017-02-05,,Inherent Vice,https://www.imdb.com/title/tt1791528/,movie,6.7,148,2014,"Comedy, Crime, Drama, Mystery, Romance",80039,2014-10-04,Paul Thomas Anderson
9,tt2267998,2017-02-05,2017-02-05,,Gone Girl,https://www.imdb.com/title/tt2267998/,movie,8.1,149,2014,"Crime, Drama, Mystery, Thriller",729943,2014-09-26,David Fincher
10,tt2305051,2017-02-05,2017-02-05,,Wild,https://www.imdb.com/title/tt2305051/,movie,7.1,115,2014,"Adventure, Biography, Drama",107317,2014-08-29,Jean-Marc Vallée
11,tt0993846,2017-02-05,2017-02-05,,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",990670,2013-12-17,Martin Scorsese
12,tt1535109,2017-02-05,2017-02-05,,Captain Phillips,https://www.imdb.com/title/tt1535109/,movie,7.8,134,2013,"Biography, Drama, Thriller",377345,2013-09-27,Paul Greengrass
13,tt1800241,2017-02-05,2017-02-05,,American Hustle,https://www.imdb.com/title/tt1800241/,movie,7.3,138,2013,"Crime, Drama",408041,2013-12-12,David O. Russell
14,tt1322269,2017-02-05,2017-02-05,,August: Osage County,https://www.imdb.com/title/tt1322269/,movie,7.2,121,2013,Drama,77817,2013-09-09,John Wells
15,tt1690953,2017-02-05,2017-02-05,,Despicable Me 2,https://www.imdb.com/title/tt1690953/,movie,7.4,98,2013,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",333711,2013-06-16,"Chris Renaud, Pierre Coffin"
16,tt2140373,2017-02-05,2017-02-05,,Saving Mr. Banks,https://www.imdb.com/title/tt2140373/,movie,7.5,125,2013,"Biography, Comedy, Drama, Family, Music",134990,2013-10-20,John Lee Hancock
17,tt1560747,2017-02-05,2017-02-05,,The Master,https://www.imdb.com/title/tt1560747/,movie,7.1,138,2012,Drama,126588,2012-09-01,Paul Thomas Anderson
18,tt1667353,2017-02-05,2017-02-05,,Mirror Mirror,https://www.imdb.com/title/tt1667353/,movie,5.6,106,2012,"Adventure, Comedy, Drama, Family, Fantasy",77890,2012-03-15,Tarsem Singh
19,tt1478338,2017-02-05,2017-02-05,,Bridesmaids,https://www.imdb.com/title/tt1478338/,movie,6.8,125,2011,"Comedy, Romance",244447,2011-04-28,Paul Feig
20,tt1201607,2017-02-05,2017-02-05,,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,"Adventure, Drama, Fantasy, Mystery",667561,2011-07-07,David Yates
21,tt0842926,2017-02-05,2017-02-05,,The Kids Are All Right,https://www.imdb.com/title/tt0842926/,movie,7,106,2010,"Comedy, Drama, Romance",119225,2010-01-25,Lisa Cholodenko
22,tt0926084,2017-02-05,2017-02-05,,Harry Potter and the Deathly Hallows: Part 1,https://www.imdb.com/title/tt0926084/,movie,7.7,146,2010,"Adventure, Family, Fantasy, Mystery",406425,2010-11-11,David Yates
23,tt0398286,2017-02-05,2017-02-05,,Tangled,https://www.imdb.com/title/tt0398286/,movie,7.8,100,2010,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",351794,2010-11-24,"Byron Howard, Nathan Greno"
24,tt0327597,2017-02-05,2017-02-05,,Coraline,https://www.imdb.com/title/tt0327597/,movie,7.7,100,2009,"Animation, Drama, Fantasy, Thriller",174263,2009-02-05,Henry Selick
25,tt0780521,2017-02-05,2017-02-05,,The Princess and the Frog,https://www.imdb.com/title/tt0780521/,movie,7.1,97,2009,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",105413,2009-11-25,"Ron Clements, John Musker"
